"staff_id","first_name","last_name","address_id","email","store_id","active","username","password","last_update","picture"
0,"Tisha","DuBuque",28,"schneider9987@rosenbaumreichert.com",23,True,"sina.corkery","8cb2237d0679ca88db6464eac60da96345513964","2022-05-16 15:13:11.79328+00",NULL
1,"Warner","Hudson",45,"hartmann1448@ratkehaley.com",25,True,"fay.kub","8cb2237d0679ca88db6464eac60da96345513964","2022-05-16 15:13:11.79328+00",NULL
2,"Lavone","O'Reilly",6,"mclaughlin3045@kleinwisokyandswaniawski.com",33,True,"gaston.wuckert","8cb2237d0679ca88db6464eac60da96345513964","2022-05-16 15:13:11.79328+00",NULL
3,"Louie","Walter",28,"ondricka8612@baileykeebler.com",18,True,"lewis.damore","8cb2237d0679ca88db6464eac60da96345513964","2022-05-16 15:13:11.79328+00",NULL
4,"Domenica","Armstrong",8,"walsh2658@corkeryinc.com",3,True,"jannette.effertz","8cb2237d0679ca88db6464eac60da96345513964","2022-05-16 15:13:11.79328+00",NULL
5,"Adah","Leuschke",20,"fritsch2775@rempelsanfordandprice.com",17,True,"rona.wolf","8cb2237d0679ca88db6464eac60da96345513964","2022-05-16 15:13:11.79328+00",NULL
6,"Theo","Harber",25,"dickinson5918@hermanreynoldsandsatterfield.com",1,True,"patrick.hudson","8cb2237d0679ca88db6464eac60da96345513964","2022-05-16 15:13:11.79328+00",NULL
7,"Lavenia","Toy",18,"schiller1207@bradtkewatersandkeebler.com",24,True,"natisha.pfannerstill","8cb2237d0679ca88db6464eac60da96345513964","2022-05-16 15:13:11.79328+00",NULL
8,"Dillon","Pfannerstill",12,"feest4324@jenkinshomenick.com",7,True,"shantae.grady","8cb2237d0679ca88db6464eac60da96345513964","2022-05-16 15:13:11.79328+00",NULL
9,"Lavonia","Considine",34,"balistreri1812@rennerandsons.com",33,True,"karl.little","8cb2237d0679ca88db6464eac60da96345513964","2022-05-16 15:13:11.79328+00",NULL
10,"Javier","Tromp",37,"ondricka8711@terryandsons.com",33,True,"valentin.yundt","8cb2237d0679ca88db6464eac60da96345513964","2022-05-16 15:13:11.79328+00",NULL
11,"Demetrius","Price",33,"cronin4447@kihnpouros.com",33,True,"warner.herman","8cb2237d0679ca88db6464eac60da96345513964","2022-05-16 15:13:11.79328+00",NULL
12,"Exie","Zieme",36,"torphy171@monahanwill.com",29,True,"takisha.johnson","8cb2237d0679ca88db6464eac60da96345513964","2022-05-16 15:13:11.79328+00",NULL
13,"Keli","Kunde",16,"feeney3290@fritschwillandprice.com",23,True,"makeda.abernathy","8cb2237d0679ca88db6464eac60da96345513964","2022-05-16 15:13:11.79328+00",NULL
14,"Ismael","Beatty",20,"ohara5149@cummerataandsons.com",36,True,"erlinda.kuhn","8cb2237d0679ca88db6464eac60da96345513964","2022-05-16 15:13:11.79328+00",NULL
15,"Wendie","Cummerata",9,"swaniawski5800@mosciskiinc.com",35,True,"carson.schinner","8cb2237d0679ca88db6464eac60da96345513964","2022-05-16 15:13:11.79328+00",NULL
16,"Nell","Schmidt",12,"swift7883@greenholtwolffanddietrich.com",35,True,"sol.walsh","8cb2237d0679ca88db6464eac60da96345513964","2022-05-16 15:13:11.79328+00",NULL
17,"Jeffry","Herman",10,"dibbert8844@kuvalisheaney.com",31,True,"stephania.friesen","8cb2237d0679ca88db6464eac60da96345513964","2022-05-16 15:13:11.79328+00",NULL
18,"Elvin","Goldner",24,"wiegand8454@carterandsons.com",19,True,"cedric.beer","8cb2237d0679ca88db6464eac60da96345513964","2022-05-16 15:13:11.79328+00",NULL
19,"Kisha","Wiegand",36,"williamson1919@lynchkris.com",17,True,"babette.marvin","8cb2237d0679ca88db6464eac60da96345513964","2022-05-16 15:13:11.79328+00",NULL
20,"Lionel","Botsford",22,"zieme7481@ondrickacreminandoconnell.com",26,True,"herb.buckridge","8cb2237d0679ca88db6464eac60da96345513964","2022-05-16 15:13:11.79328+00",NULL
21,"Isreal","Ryan",7,"sporer5957@hickledibbert.com",25,True,"nestor.schmeler","8cb2237d0679ca88db6464eac60da96345513964","2022-05-16 15:13:11.79328+00",NULL
22,"Jonathan","Bogisich",36,"veum9366@stantongroup.com",29,True,"danyel.glover","8cb2237d0679ca88db6464eac60da96345513964","2022-05-16 15:13:11.79328+00",NULL
23,"Orville","Gottlieb",2,"emmerich7529@lueilwitzandsons.com",13,True,"gala.auer","8cb2237d0679ca88db6464eac60da96345513964","2022-05-16 15:13:11.79328+00",NULL
24,"Loyce","Spencer",31,"kovacek4641@hauckwolfandrodriguez.com",23,True,"roxann.dooley","8cb2237d0679ca88db6464eac60da96345513964","2022-05-16 15:13:11.79328+00",NULL
25,"Tashina","Pfannerstill",4,"hansen6265@bogandickens.com",31,True,"lilla.gutmann","8cb2237d0679ca88db6464eac60da96345513964","2022-05-16 15:13:11.79328+00",NULL
26,"Corinne","Bayer",45,"bosco9017@cruickshankgroup.com",15,True,"cinda.kunze","8cb2237d0679ca88db6464eac60da96345513964","2022-05-16 15:13:11.79328+00",NULL
27,"Mercedes","Gislason",18,"jacobson5760@johnstonsporer.com",1,True,"lauren.maggio","8cb2237d0679ca88db6464eac60da96345513964","2022-05-16 15:13:11.79328+00",NULL
28,"Elvin","Hammes",47,"damore5311@ortizkilback.com",28,True,"lenora.johnston","8cb2237d0679ca88db6464eac60da96345513964","2022-05-16 15:13:11.79328+00",NULL
29,"Nadia","Schulist",32,"crist6700@cruickshankrogahn.com",10,True,"alejandra.hettinger","8cb2237d0679ca88db6464eac60da96345513964","2022-05-16 15:13:11.79328+00",NULL
30,"Lashon","Cole",31,"dach367@bechtelarllc.com",7,True,"trevor.roberts","8cb2237d0679ca88db6464eac60da96345513964","2022-05-16 15:13:11.79328+00",NULL
31,"Otha","Collins",22,"emmerich2148@purdyhammes.com",23,True,"pam.hand","8cb2237d0679ca88db6464eac60da96345513964","2022-05-16 15:13:11.79328+00",NULL
32,"Charmain","Heidenreich",8,"doyle7831@turnerquitzon.com",25,True,"john.purdy","8cb2237d0679ca88db6464eac60da96345513964","2022-05-16 15:13:11.79328+00",NULL
33,"Michale","Schaden",27,"schoen316@kunzehermann.com",20,True,"cody.denesik","8cb2237d0679ca88db6464eac60da96345513964","2022-05-16 15:13:11.79328+00",NULL
34,"Ethan","Anderson",19,"abshire1922@torphyandsons.com",31,True,"florance.upton","8cb2237d0679ca88db6464eac60da96345513964","2022-05-16 15:13:11.79328+00",NULL
35,"Laurine","Kunze",11,"strosin5729@ullrichbechtelarandraynor.com",21,True,"ashley.greenfelder","8cb2237d0679ca88db6464eac60da96345513964","2022-05-16 15:13:11.79328+00",NULL
36,"Flor","Toy",23,"fay7591@wisozkhowell.com",1,True,"jerry.bradtke","8cb2237d0679ca88db6464eac60da96345513964","2022-05-16 15:13:11.79328+00",NULL
37,"Nelle","Skiles",10,"fritsch6537@friesenrath.com",18,True,"winston.brakus","8cb2237d0679ca88db6464eac60da96345513964","2022-05-16 15:13:11.79328+00",NULL
38,"Melania","Kemmer",32,"harris6589@jonesbodeandanderson.com",25,True,"eugene.okuneva","8cb2237d0679ca88db6464eac60da96345513964","2022-05-16 15:13:11.79328+00",NULL
39,"Miguelina","Lang",28,"howell9178@handgreenfelderandsimonis.com",34,True,"thanh.raynor","8cb2237d0679ca88db6464eac60da96345513964","2022-05-16 15:13:11.79328+00",NULL
40,"Amos","Wiegand",41,"renner2227@gleasonfeeney.com",20,True,"bernice.fay","8cb2237d0679ca88db6464eac60da96345513964","2022-05-16 15:13:11.79328+00",NULL
41,"Jimmie","Keebler",26,"cruickshank9198@jastandsons.com",31,True,"addie.zulauf","8cb2237d0679ca88db6464eac60da96345513964","2022-05-16 15:13:11.79328+00",NULL
42,"Lincoln","Wisoky",45,"ruecker755@orngroup.com",13,True,"ozell.doyle","8cb2237d0679ca88db6464eac60da96345513964","2022-05-16 15:13:11.79328+00",NULL
43,"Dannie","Effertz",41,"reichert3953@collierbeerandbeer.com",35,True,"alan.kertzmann","8cb2237d0679ca88db6464eac60da96345513964","2022-05-16 15:13:11.79328+00",NULL
44,"Tameika","Donnelly",36,"marvin870@kingandsons.com",13,True,"alvaro.gulgowski","8cb2237d0679ca88db6464eac60da96345513964","2022-05-16 15:13:11.79328+00",NULL
45,"Rocco","Altenwerth",47,"swift5454@hegmannandsons.com",27,True,"brad.ullrich","8cb2237d0679ca88db6464eac60da96345513964","2022-05-16 15:13:11.79328+00",NULL
46,"Kristel","Bins",24,"bogan7957@greenholtgroup.com",34,True,"tristan.bogisich","8cb2237d0679ca88db6464eac60da96345513964","2022-05-16 15:13:11.79328+00",NULL
47,"Jerri","Rice",30,"predovic8702@sengerharber.com",16,True,"jaclyn.mante","8cb2237d0679ca88db6464eac60da96345513964","2022-05-16 15:13:11.79328+00",NULL
48,"Fredrick","Murphy",14,"doyle1472@oconnellconnellyandluettgen.com",16,True,"alfredia.frami","8cb2237d0679ca88db6464eac60da96345513964","2022-05-16 15:13:11.79328+00",NULL
49,"Andreas","Corkery",32,"stark2038@jenkinsgroup.com",21,True,"silas.bode","8cb2237d0679ca88db6464eac60da96345513964","2022-05-16 15:13:11.79328+00",NULL
